objectid,filename,youtubeid,vimeoid,title,creator,date,description,Mode,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,genre,mode,listening,source,source-type,source-instrument,location,date-transcribed,original-location,main-region,subregion,original-tonality,original-tonality-directional,secondary-modes,modulation-measures,one-mode
No077,beregovski077.png,,,No. 077,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,,Gas-nign,Minor,listening,"Melamed, R.",recording,Voice,"Novo-Zlatopol, Dnepropetrovsk",1937,-,Old Jewish Agricultural Colonies,Novozlatopol,-,-,,All minor,yes
No078,beregovski078.png,,,No. 078,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,,Gas-nign,Minor,listening,"Karlyk, Ia.",recording,-,"Dzhelal, Crimea",1937,"Boguslav, Kiev",Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",-,-,Bb major,8-15,no
No079,beregovski079.png,,,No. 079,Beregovski (trans.); Malin (encoded),,A gute nakht,Freygish,,,,2015,,listening,image/png,,,,A gute nakht,Freygish,listening,"Gershfeld, G.",transcription,Violin,Tiraspol,1937,-,Kiev,Berdichev,D,Up P5,,All freygish,yes
No080,beregovski080.png,,,No. 080,Beregovski (trans.); Malin (encoded),,A gute nakht,Minor,,,,2015,,listening,image/png,,,,A gute nakht,Minor,listening,"Gershfeld, G.",transcription,Violin,Tiraspol,1937,-,Kiev,Berdichev,D,Up P5,,All minor,yes
No081,beregovski081.png,,,No. 081,Beregovski (trans.); Malin (encoded),,Zay gezunt,Freygish,,,,2015,,listening,image/png,,,,Zay gezunt,Freygish,listening,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,G,-,,All freygish,yes
No082,beregovski082.png,,,No. 082,Beregovski (trans.); Malin (encoded),,Zay gezunt,Freygish,,,,2015,,listening,image/png,,,,Zay gezunt,Freygish,listening,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1936,-,Old Jewish Agricultural Colonies,Kalinindorf,G,-,C minor,9-16,no
No083,beregovski083.png,,,No. 083,Beregovski (trans.); Malin (encoded),,Zay gezunt,Minor,,,,2015,,listening,image/png,,,,Zay gezunt,Minor,listening,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,D,Up P5,,All minor,yes
No084,beregovski084.png,,,No. 084,Beregovski (trans.); Malin (encoded),,Zay gezunt,Minor,,,,2015,,listening,image/png,,,,Zay gezunt,Minor,listening,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,D,Up P5,,All minor,yes
No085,beregovski085.png,,,No. 085,Beregovski (trans.); Malin (encoded),,,,,,,N/A,,N/A,image/png,,,,Redl,Freygish,dance,Anonymous,transcription,-,Liubavichi,1913,-,Various Cities and Towns,-,-,-,,All freygish,yes
No086,beregovski086.png,,,No. 086,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,Freylekhs,Freygish,dance,"Slobodskoi, M.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",A,Up M2,,All freygish,yes
No087,beregovski087.png,,,No. 087,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,Freylekhs,Freygish,dance,"Slobodskoi, M.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",-,-,F major,10-14,no
No088,beregovski088.png,,,No. 088,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,Freylekhs,Freygish,dance,"Gershfeld, G.",transcription,Violin,Tiraspol,1937,-,Kiev,Berdichev,A,Up M2,Eb major; C altered Dorian,"14-17, 18-22",no
No089,beregovski089.png,,,No. 089,Beregovski (trans.); Malin (encoded),,Tants,Freygish,,,,2001,,dance,image/png,,,,Tants,Freygish,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1936,-,Old Jewish Agricultural Colonies,Kalinindorf,D,Up P5,,All freygish,yes
No090,beregovski090.png,,,No. 090,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,Freylekhs,Freygish,dance,"Grudsky, L.",transcription,Violin,Kherson,1933,-,Old Jewish Agricultural Colonies,-,D,Up P5,C major; D freygish,17-20; 21-24,no
